  pre-existing, untouched by this transaction: 'LAUNCH Weekly - Autumn'!C35 carries 2 recommended (Science_Teesside/Launch/SCI_L_W4_L1_Diffusion.html, Science_Teesside/Launch/SCI_L_W4_L3_ExamSkills.html)
| cell | termWeek | files | recommended | alternative |
| 'LAUNCH Weekly - Autumn'!C35 | Aut1·W4 | 4 | Science_Teesside/Launch/SCI_L_W4_L1_Diffusion.html, Science_Teesside/Launch/SCI_L_W4_L3_ExamSkills.html | — |
| 'LAUNCH Weekly - Autumn'!C36 | Aut1·W5 | 2 | — | — |
| 'LAUNCH Weekly - Autumn'!C37 | Aut1·W6 | 2 | Science_Teesside/Launch/SCI_L_W6_L1_ActiveTransport.html | — |
| 'LAUNCH Weekly - Autumn'!C38 | Aut1·W7 | 1 | Science_Teesside/Launch/SCI_L_W7_L3_ExamPractice.html | — |
| 'LAUNCH Weekly - Autumn'!C39 | Aut2·W1 | 4 | — | Science_Teesside/Launch/W8-W13_2026-27/SCI_L_W9_Copy_separate_divide_Classic.html |
| 'LAUNCH Weekly - Autumn'!C40 | Aut2·W2 | 3 | — | — |
| 'LAUNCH Weekly - Autumn'!C41 | Aut2·W3 | 3 | — | — |
| 'LAUNCH Weekly - Autumn'!C42 | Aut2·W4 | 4 | — | Science_Teesside/Launch/W8-W13_2026-27/SCI_L_W12_Zoom_into_genetic_information_Classic.html |
| 'LAUNCH Weekly - Autumn'!C43 | Aut2·W5 | 3 | — | — |
| 'LAUNCH Weekly - Autumn'!C44 | Aut2·W6 | 3 | — | — |
| 'LAUNCH Weekly - Autumn'!C45 | Aut2·W7 | 3 | — | — |
| 'LAUNCH Weekly - Autumn'!C48 | Aut1·W3 | 2 | — | Humanities_Teesside/LAUNCH_W1-W8_2026-27/LAUNCH_HUM_W3_Can_this_record_prove_it_Classic.html |
| 'LAUNCH Weekly - Autumn'!C53 | Aut2·W1 | 2 | — | Launch/Slideshows/LAUNCH_HUM_W9_Find_it_with_a_grid_reference_Classic.html |
| 'LAUNCH Weekly - Autumn'!C95 | Aut2·W1 | 2 | — | — |
| 'LAUNCH Weekly - Autumn'!C96 | Aut2·W2 | 2 | — | — |
| 'LAUNCH Weekly - Spring'!C28 | Spr1·W1 | 3 | — | — |

HUB GATE (served tree /tmp/claude-0/-home-user-Lessons/66c1d222-c1e7-597f-9ba2-ca04f6d2c4f3/scratchpad/adm/l1/education-lessons): PASS — exactly one recommended per cell
