path,bytes,sha256,chassis,scripts,print_sections,print_boxes,wit_panel,loop_mark,closure_line,ta_brief,cc,lundy_boxes,sow_strip,award_strip,guide_tagged
Science_Teesside/Grow/v3_40min/TEACHER_IMPLEMENTATION_GUIDE.html,5936,b1625a72f87c,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Grow/v3_40min/index.html,7255,eca1324113d7,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/LAUNCH_DAILY_REFLECTION_EVIDENCE_WINDOW.html,12029,326d6133af84,sci-v3-doc,1,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,20155,feb687648604,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/LAUNCH_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,20298,1e6ad5f33650,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W3L1_Microscopy_Introduce.html,73934,2695720c5cb6,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W3L2_Calculating_Magnification_Explore.html,73489,0997424af531,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W3L3_Magnification_Lab_Do.html,74246,4453b482487e,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W4L1_Diffusion_Introduce.html,73279,1e3494076fa0,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W4L2_Diffusion_Lungs_Explore.html,73172,fa0222db291f,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W4L3_Diffusion_Explanation_Do.html,71984,491ed089d0f2,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W5L1_Osmosis_Introduce.html,71904,f268d9a24577,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,73622,3cac97339573,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W5L3_Osmosis_Data_Do.html,76264,dc8fb8f7b6dc,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W6L1_Active_Transport_Introduce.html,72029,c52592788d67,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,71905,df922cb92131,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W6L3_Compare_Transport_Do.html,73815,3efed95b1350,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,72263,27d2dd385eb7,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W7L2_Command_Words_Explore.html,71352,529e016b28a6,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/SCI_L_W7L3_Exam_Practice_Do.html,72889,fb3678060d89,sci-v3,2,1,0,0,0,1,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/TEACHER_IMPLEMENTATION_GUIDE.html,2742,2df81b3f9c51,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
Science_Teesside/Launch/v3_40min/index.html,6810,053a4ed1161e,sci-v3-doc,0,0,0,0,0,0,,0,0,0,0,0
